label,youtube_id,time_start,time_end,split
tango dancing,C-mSvflzVrs,56,66,train
sticking tongue out,C-nRT8VDi5s,8,18,train
skiing (not slalom or crosscountry),C-rZ5rfBtO8,9,19,train
opening bottle,C-rgstFUgTQ,1,11,train
busking,C-sBS57V9TQ,22,32,train
feeding goats,C-upvT78b14,4,14,train
digging,C-wJpYZViM0,127,137,train
stretching leg,C-wiOqYcxoI,84,94,train
pushing wheelchair,C-yNLv9RP8k,12,22,train
hoverboarding,C0-wuUfGAw0,64,74,train
country line dancing,C00GK0krJX0,151,161,train
walking the dog,C010K_5tI_w,1,11,train
passing American football (in game),C01Y2-utrjM,4,14,train
playing clarinet,C0204uQIMOo,202,212,train
biking through snow,C03NtYx2Tpw,141,151,train
opening present,C04kXL2mbmg,41,51,train
arranging flowers,C04ps6RvjyI,17,27,train
playing bagpipes,C06FHZRBadE,0,10,train
hoverboarding,C08ImAa-Lp0,17,27,train
capoeira,C09q6zy-QPA,124,134,train
playing didgeridoo,C0Bi8nHwEmE,23,33,train
bartending,C0ByoTNa6EI,173,183,train
playing cello,C0DA2CVsvCI,232,242,train
playing bass guitar,C0EthTpsbe8,43,53,train
playing badminton,C0EvHJ1N19E,2,12,train
rock climbing,C0F070fCpho,189,199,train
kicking field goal,C0FE_JUVkQA,25,35,train
hopscotch,C0FOyRZFUvg,3,13,train
pumping fist,C0FPGiQvAiY,24,34,train
playing didgeridoo,C0FPOYbNyvk,16,26,train
riding elephant,C0GV5WQYEVg,112,122,train
shuffling cards,C0Gs9VX9Wkw,95,105,train
playing accordion,C0H00YJ52oU,993,1003,train
doing nails,C0HajPJCKJM,338,348,train
contact juggling,C0IAB0lNaKA,0,10,train
eating spaghetti,C0Lb7n7FkWY,15,25,train
shaking hands,C0MDjBggkf4,95,105,train
snorkeling,C0NuO6CQbOk,18,28,train
getting a haircut,C0OFdhqPVIs,4,14,train
braiding hair,C0OmK7V3jvk,446,456,train
doing nails,C0QHWye_hBk,133,143,train
abseiling,C0QunR-DTiQ,387,397,train
making bed,C0R1bM-mAII,0,10,train
balloon blowing,C0SAbYE1MPU,3,13,train
kicking field goal,C0SZ2UB87qo,3,13,train
tai chi,C0T23bpyzDU,246,256,train
krumping,C0TCyDb8EJ0,174,184,train
bowling,C0TkLGJOyzw,61,71,train
belly dancing,C0TkZG7VLWU,59,69,train
belly dancing,C0TmXlbuRjA,129,139,train
playing paintball,C0UL4fDoIjc,30,40,train
dancing ballet,C0UaJzB2x5I,136,146,train
bowling,C0UfOT_-vGY,4,14,train
playing trombone,C0VrLueyVt8,247,257,train
krumping,C0WRom8ohr0,21,31,train
doing laundry,C0WpW2nQhX4,65,75,train
blowing out candles,C0XDMN0UtZA,1,11,train
clean and jerk,C0Z3-dfBENc,5,15,train
somersaulting,C0_CtGaLGhs,3,13,train
slacklining,C0_YoZi6qvc,5,15,train
ice fishing,C0bemUeWeAE,351,361,train
trapezing,C0d1HWyP2kw,6,16,train
skiing (not slalom or crosscountry),C0dNM6u1Opg,182,192,train
parasailing,C0gFsxmdNA4,22,32,train
