label,youtube_id,time_start,time_end,split
tying tie,NjkI5WDOZeo,157,167,validate
pole vault,NjlpfWanWQk,405,415,validate
fixing hair,Njz5MD-OJsU,190,200,validate
welding,Nk0ipVgGeVc,43,53,validate
playing kickball,Nk9Tw2UtZY0,29,39,validate
shaving head,NkNH4lSeGoQ,23,33,validate
rock climbing,Nkl-S91V2Ms,314,324,validate
blowing leaves,NkqsGYNJAF4,11,21,validate
counting money,Nl8o0bChkaQ,0,10,validate
pull ups,NlNIIPQRCB8,20,30,validate
making sushi,Nm6XvD2E-uY,75,85,validate
clay pottery making,NmIOEqpqrzY,33,43,validate
massaging person's head,NmInR6zAwhE,106,116,validate
setting table,NmSX-v9-gF4,36,46,validate
eating hotdog,NmY0q-M4UfY,30,40,validate
dancing charleston,NmeMnIa36_w,2,12,validate
blasting sand,Nn4kWqrwFN8,126,136,validate
washing feet,NnE3hRx35J0,224,234,validate
playing ice hockey,NnVvzEcQoh8,42,52,validate
catching or throwing softball,NnexTwOgWR8,7,17,validate
brushing teeth,NoLmGisfNqg,3,13,validate
cleaning windows,NoVUexplPxI,191,201,validate
tying knot (not on a tie),NoXMdEt133g,42,52,validate
ripping paper,NpEsYEbEpRA,9,19,validate
jetskiing,NpcZ1_yUd7s,10,20,validate
paragliding,NpdcYVkbavY,97,107,validate
petting animal (not cat),NpedofmEUho,56,66,validate
lunge,NpiPi-1t3S4,0,10,validate
answering questions,NqE4FpM7Ypk,251,261,validate
slacklining,Nqphuc09SYc,65,75,validate
vault,Nr3cJKgbRIQ,0,10,validate
spinning poi,Nr8Uz54LBzk,1,11,validate
shaking head,NrAKm89L4JI,2,12,validate
peeling potatoes,NrGNHjAmbJ0,11,21,validate
hockey stop,Nrscg8fLYqY,49,59,validate
pushing car,NrwuUbTt_Fc,5,15,validate
dancing macarena,NsG31u7Pd2Q,10,20,validate
cleaning floor,NsMCAbejmus,1,11,validate
snowboarding,Nssuz0Db6LU,129,139,validate
spinning poi,NtE2jkiNBfY,26,36,validate
riding mechanical bull,NtFlLFrehdQ,9,19,validate
catching fish,NtHxIbhqYCU,85,95,validate
making bed,NtLr-FAJNzs,4,14,validate
dancing ballet,NtUqv__6vdU,225,235,validate
shaking hands,NtcCDlB4fFc,13,23,validate
blasting sand,Ntd9Y7Bkl6I,16,26,validate
long jump,Nu2W3utPPw8,57,67,validate
slapping,Nu3ya30pu5o,0,10,validate
peeling potatoes,NuYxk3bUGik,46,56,validate
passing American football (in game),Nunqc8rPktk,4,14,validate
pushing cart,Nv1suSwmmJ4,0,10,validate
ironing,NvC6n2X5gPo,20,30,validate
sign language interpreting,NvFsxVwrXwg,216,226,validate
cooking egg,NvqM8v8rIl8,10,20,validate
bee keeping,Nw-X7MCN0ZM,3,13,validate
sanding floor,Nw4UOtDFzus,24,34,validate
kicking field goal,NwH_F2OAiYc,178,188,validate
golf driving,NwLAP2x6p-I,4,14,validate
cooking egg,NwUMfuFpDto,35,45,validate
tying tie,NxEWCY0ODS8,379,389,validate
tango dancing,NxYYhpVIvEg,11,21,validate
climbing tree,Nxu1DpTEx4w,107,117,validate
stretching arm,Ny8YzIrC7JI,15,25,validate
tossing salad,NyQoDJy2JQo,1,11,validate
texting,NyTsArphbAM,64,74,validate
marching,Nz2mA7r6G10,0,10,validate
smoking hookah,NzBaF5kNChM,17,27,validate
dancing macarena,NzEAJ8x6-Fk,10,20,validate
